@relation InstanceResultListener

@attribute Key_Dataset {Conocimiento}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.rules.ZeroR,weka.classifiers.trees.J48,weka.classifiers.trees.RandomForest,weka.classifiers.trees.RandomTree,weka.classifiers.rules.DecisionTable,weka.classifiers.bayes.BayesNet,weka.classifiers.functions.MultilayerPerceptron,weka.classifiers.meta.ClassificationViaRegression,weka.classifiers.meta.MultiClassClassifier,weka.classifiers.trees.DecisionStump}
@attribute Key_Scheme_options {'','-C 0.25 -M 2','-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1','-K 0 -M 1.0 -V 0.001 -S 1','-X 1 -S \"weka.attributeSelection.BestFirst -D 1 -N 5\"','-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5','-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a','-W weka.classifiers.trees.M5P -- -M 4.0','-M 0 -R 2.0 -S 1 -W weka.classifiers.functions.Logistic -- -R 1.0E-8 -M -1 -num-decimal-places 4'}
@attribute Key_Scheme_version_ID {48055541465867954,-217733168393644444,1116839470751428698,-9051119597407396024,2888557078165701326,746037443258775954,-5990607817048210779,4500023123618669859,-3879602011542849141,1618384535950391}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 3\nSize of the tree: 5\n','Number of leaves: 2\nSize of the tree: 3\n','Number of leaves: 5\nSize of the tree: 9\n','Number of leaves: 1\nSize of the tree: 1\n','Number of leaves: 4\nSize of the tree: 7\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric
@attribute measureOutOfBagError numeric
@attribute measureExtraArcs numeric
@attribute measureMissingArcs numeric
@attribute measureReversedArcs numeric
@attribute measureDivergence numeric
@attribute measureBayesScore numeric
@attribute measureBDeuScore numeric
@attribute measureMDLScore numeric
@attribute measureAICScore numeric
@attribute measureEntropyScore numeric

@data

Conocimiento,1,1,weka.classifiers.rules.ZeroR,'',48055541465867954,20180909.0224,45,5,4,1,0,80,20,0,0,0.404255,0.423933,100,100,3.956159,3.956159,0,0.791232,0.791232,0,0,0,0,1,4,1,1,0,0,0,0,0.8,1,0.888889,?,0.5,0.8,0.8,0.8,0.2,0.2,?,0.8,?,?,0.5,0.68,?,0.8,0.001,0,0,0,0,0,923,6309,2589,100,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Conocimiento,1,2,weka.classifiers.rules.ZeroR,'',48055541465867954,20180909.0224,45,5,4,1,0,80,20,0,0,0.404255,0.423933,100,100,3.956159,3.956159,0,0.791232,0.791232,0,0,0,0,1,4,1,1,0,0,0,0,0.8,1,0.888889,?,0.5,0.8,0.8,0.8,0.2,0.2,?,0.8,?,?,0.5,0.68,?,0.8,0.001,0,0,0,0,0,923,6309,2589,100,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Conocimiento,1,3,weka.classifiers.rules.ZeroR,'',48055541465867954,20180909.0224,45,5,4,1,0,80,20,0,0,0.404255,0.423933,100,100,3.956159,3.956159,0,0.791232,0.791232,0,0,0,0,1,4,1,1,0,0,0,0,0.8,1,0.888889,?,0.5,0.8,0.8,0.8,0.2,0.2,?,0.8,?,?,0.5,0.68,?,0.8,0.001,0,0,0,0,0,923,6309,2589,100,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Conocimiento,1,4,weka.classifiers.rules.ZeroR,'',48055541465867954,20180909.0224,45,5,4,1,0,80,20,0,0,0.404255,0.423933,100,100,3.956159,3.956159,0,0.791232,0.791232,0,0,0,0,1,4,1,1,0,0,0,0,0.8,1,0.888889,?,0.5,0.8,0.8,0.8,0.2,0.2,?,0.8,?,?,0.5,0.68,?,0.8,0.001,0,0,0,0,0,923,6309,2589,100,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Conocimiento,1,5,weka.classifiers.rules.ZeroR,'',48055541465867954,20180909.0224,45,5,3,2,0,60,40,0,0,0.46383,0.496525,100,100,4.959163,4.959163,0,0.991833,0.991833,0,0,0,0,1,3,1,2,0,0,0,0,0.6,1,0.75,?,0.5,0.6,0.6,0.6,0.4,0.4,?,0.6,?,?,0.5,0.52,?,0.6,0,0.001,0,0,0,0,923,6309,2589,100,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Conocimiento,1,6,weka.classifiers.rules.ZeroR,'',48055541465867954,20180909.0224,45,5,3,2,0,60,40,0,0,0.46383,0.496525,100,100,4.959163,4.959163,0,0.991833,0.991833,0,0,0,0,1,3,1,2,0,0,0,0,0.6,1,0.75,?,0.5,0.6,0.6,0.6,0.4,0.4,?,0.6,?,?,0.5,0.52,?,0.6,0,0.001,0,0,0,0,923,6309,2589,100,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Conocimiento,1,7,weka.classifiers.rules.ZeroR,'',48055541465867954,20180909.0224,45,5,3,2,0,60,40,0,0,0.46383,0.496525,100,100,4.959163,4.959163,0,0.991833,0.991833,0,0,0,0,1,3,1,2,0,0,0,0,0.6,1,0.75,?,0.5,0.6,0.6,0.6,0.4,0.4,?,0.6,?,?,0.5,0.52,?,0.6,0,0,0,0,0,0,923,6309,2589,100,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Conocimiento,1,8,weka.classifiers.rules.ZeroR,'',48055541465867954,20180909.0224,45,5,3,2,0,60,40,0,0,0.46383,0.496525,100,100,4.959163,4.959163,0,0.991833,0.991833,0,0,0,0,1,3,1,2,0,0,0,0,0.6,1,0.75,?,0.5,0.6,0.6,0.6,0.4,0.4,?,0.6,?,?,0.5,0.52,?,0.6,0.001,0,0,0,0,0,923,6309,2589,100,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Conocimiento,1,9,weka.classifiers.rules.ZeroR,'',48055541465867954,20180909.0224,45,5,3,2,0,60,40,0,0,0.46383,0.496525,100,100,4.959163,4.959163,0,0.991833,0.991833,0,0,0,0,1,3,1,2,0,0,0,0,0.6,1,0.75,?,0.5,0.6,0.6,0.6,0.4,0.4,?,0.6,?,?,0.5,0.52,?,0.6,0.001,0,0,0,0,0,923,6309,2589,100,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?
